sku,compatible_with,manufacturer
50.00.286,"CM 101 G, CM 101 G - WE PLUS, CM 101 G 100V 50-60Hz, CM 101 G 120V 60Hz, CM 102 G, CM 102 G - WE PLUS, CM 102 G 120V 60Hz, CM 61 G, CM 61 G - WE PLUS, CM 61 G 100V 50-60Hz, CM 61 G 120V 60Hz, CM 62 G, CM 62 G - WE PLUS, CM 62 G 100V 50-60Hz, CM 62 G 120V",RATIONAL
,,
,,
50.00.296," CM 101 G, CM 101 G - WE PLUS, CM 101 G 100V 50-60Hz, CM 101 G 120V 60Hz, CM 102 G, CM 102 G - WE PLUS, CM 102 G 120V 60Hz, CM 61 G, CM 61 G - WE PLUS, CM 61 G 100V 50-60Hz, CM 61 G 120V 60Hz, CM 62 G, CM 62 G - WE PLUS, CM 62 G 100V 50-60Hz, CM 62 G 120V",RATIONAL
,,
,,
60030182,,WASHTECH
,,
,,
,,
,,
80069,,HOBART
,,
,,
80105,,HOBART
,,
,,
80130,,HOBART
,,
,,
80131,,HOBART
,,
,,
80132,,HOBART
,,
,,
80998,,HOBART
,,
,,
926014,,HOBART
,,
,,
927088,,HOBART
,,
,,
Z200310,"Z200310000 FAGOR, 12024180 FAGOR",FAGOR
,,
,,
Z200522,"Z20052000 FAGOR, 12024299 FAGOR",FAGOR
,,
,,
Z200607,"Z200607000 FAGOR, 12003212 FAGOR",FAGOR
,,
,,
143266,14.32.66 ESWOOD SMARTWASH,"ESWOOD SMARTWASH, NORRIS MADISON"
,,
,,
143267,,"ESWOOD SMARTWASH, NORRIS MADISON"
,,
,,
209036,20.90.36 ESWOOD SMARTWASH,"ESWOOD SMARTWASH, NORRIS MADISON"
,,
,,
209039,20.90.39 ESWOOD SMARTWASH,"ESWOOD SMARTWASH, NORRIS MADISON"
,,
,,
5001,,VARIOUS
,,
,,
5003,,VARIOUS
,,
,,
5005,,VARIOUS
,,
,,
5007,,VARIOUS
,,
,,
5009,,VARIOUS
,,
,,
5011,,VARIOUS
,,
,,
5100,,VARIOUS
,,
,,
6000,SEKO,INJECTA
,,
,,
6100,SEKO,INJECTA
,,
,,
6200,,GERMAC
,,
,,
6250,,GERMAC
,,
,,
EP-252,,ESWOOD
,,
,,
NK/HP,,INJECTA
,,
,,
NK/LP,,INJECTA
,,
,,
Z208903,,GERMAC
,,
,,
49878,,ZANUSSI/ELECTROLUX
,,
,,
512060000,,MACH
,,
,,
DH2090E,,ESWOOD
,,
,,
DH2090H,"883961-2 HOBART, 00-883961-002 HOBART",HOBART
,,
,,
DH3090,,VARIOUS
,,
,,
,,
Z200910,"Z200910000 FAGOR, 12024473 FAGOR",FAGOR
,,
,,
01-240010-1,01-240010-001 HOBART,HOBART
,,
,,
48844,0L0692 ELECTROLUX,ZANUSSI/ELECTROLUX
,,
,,
100803,,COMENDA
,,
,,
130123,130175,"HOBART, ESWOOD SMARTWASH, NORRIS MADISON, EUROWASH"
,,
,,
130176,,HOBART
,,
,,
44.00.207P,,RATIONAL
,,
,,
5120557,,MACH
,,
,,
60060102,,WASHTECH
,,
